# Dist d in cm	In in mV
40	5	2	2.5
35	5	2	3
30	5	3	3.5
20	10	5	5
15	10	7	7.5
10	11	10	9
5	12	10	15
4	15	12	21
3	25	18	25
2	30	25	30	
1	45	50	50

