#Datum	Latitude	Longitude
06160010	51.5582693611214	9.93857865427502
06160010	51.5582693611214	9.93857865427502
06160011	51.5582693611214	9.93857865427502
06160023	51.5582673308095	9.93840144052702
06160023	51.5582673308095	9.93840144052702
06160023	51.5582673308095	9.93840144052702
06160023	51.5582673308095	9.93840144052702
06160023	51.5582673308095	9.93840144052702
06160023	51.5582673308095	9.93840144052702
06160023	51.5582673308095	9.93840144052702
06160023	51.5582673308095	9.93840144052702
06160023	51.5582673308095	9.93840144052702
06160023	51.5582673308095	9.93840144052702
06160023	51.5582673308095	9.93840144052702
06160023	51.5582673308095	9.93840144052702
06160023	51.5582673308095	9.93840144052702
06160023	51.5582673308095	9.93840144052702
06160023	51.5582673308095	9.93840144052702
06160023	51.5582673308095	9.93840144052702
06160023	51.5582673308095	9.93840144052702
06160023	51.5582673308095	9.93840144052702
06160023	51.5582540561393	9.93847608635743
06160023	51.5582540561393	9.93847608635743
06160023	51.5582540561393	9.93847608635743
06160023	51.5582540561393	9.93847608635743
06160023	51.5582540561393	9.93847608635743
06160023	51.5582540561393	9.93847608635743
06160023	51.5582540561393	9.93847608635743
06160023	51.5582540561393	9.93847608635743
06160023	51.5582540561393	9.93847608635743
06160032	51.5582582322955	9.93866706026997
06160035	51.5583891840332	9.93865697115338
06160036	51.5582959636787	9.93839150611791
06160723	51.5582424298959	9.93853900655623
06160725	51.5582802014929	9.93833046368424
06160730	51.5582618219869	9.93840877770205
06160746	51.5582127787392	9.93835456117625
06160808	51.5581806555851	9.93861346931767
06161042	51.5623736707974	9.9482790380809
06161042	51.5626330907005	9.94934638963076
06161042	51.5630444745082	9.95100525208744
06161050	51.5627459530267	9.97031531297599
06161051	51.563651743393	9.9718019273225
06161052	51.5624447912458	9.97107018717562
06161052	51.5621089702952	9.97054162436162
06161056	51.5582765243631	9.94697853046091
06161101	51.5581967588994	9.95102419518861
06161114	51.5581082460019	9.95115746744904
