#Datum	Latitude	Longitude
06171157	51.7276166053971	9.9614517856482	11	57	01
06171200	51.7276732670625	9.96220925823782	12	00	09
06171202	51.7278306792041	9.96311978437934	12	02	44
06171205	51.7273182515537	9.96303571389053	12	05	24
06171205	51.7273182515537	9.96303571389053	12	05	26
06171207	51.7267881380876	9.96295030229721	12	07	39
06171209	51.7266549915557	9.96215184220109	12	09	41
06171211	51.7265479546522	9.96130560525689	12	11	53
06171213	51.726565975744	9.96058761143122	12	13	52
06171215	51.7265257006993	9.95980826207433	12	15	15
06171216	51.7265495053043	9.95909353719089	12	16	44
06171218	51.7264670692866	9.95834704489443	12	18	22
06171220	51.7263681628292	9.95766651817593	12	20	24
06171222	51.726211756516	9.95702815243039	12	22	09
06171223	51.7259279452746	9.95647804812524	12	23	44
06171225	51.7254999233891	9.95678197593424	12	25	34
06171225	51.7254876858105	9.95683142916295	12	25	43
06171228	51.7250958318372	9.95715253987346	12	28	11
06171229	51.7251103744392	9.95737390593622	12	29	09
06171230	51.7253956525137	9.95878139511678	12	30	49
06171233	51.7256829422449	9.96012828313742	12	33	28
06171236	51.7256243946512	9.96114777402017	12	36	02
06171239	51.7247183947374	9.96114131995473	12	39	04
06171242	51.7245838651915	9.9596821144316	12	42	35
06171245	51.7240168713515	9.95849297382865	12	45	35
06171248	51.7235444253792	9.95750449598763	12	48	07
06171251	51.723123570021	9.95873269625936	12	51	11
06171253	51.723081325229	9.96014127508733	12	53	50
06171256	51.7230673693602	9.96164448560212	12	56	35
06171259	51.7232657270988	9.96309623123143	12	59	45
06171303	51.7231759988253	9.96469172650013	01	03	09
06171306	51.7231278447916	9.96592445299957	01	06	26
06171309	51.7223046999906	9.96565614827905	01	09	57
06171313	51.722063929822	9.96416886338029	01	13	27
06171316	51.7219551327189	9.96280990541909	01	16	10
06171316	51.7219534982477	9.96279280633662	01	16	12
06171319	51.7218464613442	9.96137106792066	01	19	21
06171322	51.7218467128013	9.96023506858382	01	22	19
06171325	51.7210219335293	9.96069439687762	01	25	38
06171328	51.7210426787396	9.96204187163148	01	28	23
06171330	51.7210762482618	9.96340443381105	01	30	50
06171334	51.7212078441416	9.96487621218894	01	34	46
06171338	51.7203523032849	9.96477588080798	01	38	22
06171341	51.7203189433103	9.9632840696815	01	41	25
06171344	51.7202328192552	9.96190197766755	01	44	32
06171346	51.7199645983537	9.96132890694771	01	46	22
06171402	51.7193293339123	9.9621460586879	02	02	39
06171406	51.7195382109394	9.9637695495132	02	06	44
06171412	51.7187552992736	9.96416291222904	02	12	01
06171415	51.7185822967922	9.96286899783645	02	15	17
06171417	51.7180442205181	9.96188110672865	02	17	44
06171422	51.7172540165966	9.96256087907586	02	22	07
06171424	51.7174000293498	9.96402385645543	02	24	25
06171427	51.7168041179438	9.9638247862551	02	27	16
06171430	51.7163147824367	9.96478560381566	02	30	27
06171442	51.7220169911643	9.96262424626384	02	42	23
06171444	51.7229638947656	9.96295826510523	02	44	56
06171446	51.7231495120113	9.96314937249754	02	46	32
06171448	51.7240417236944	9.96228762903247	02	48	48
06171453	51.7247260222693	9.96121994220648	02	53	15
06171456	51.7251476739084	9.96253221296702	02	56	40
06171459	51.7252454488089	9.96322874912057	02	59	35
06171501	51.7249849392583	9.96372847818766	03	01	28
06171503	51.7251975881417	9.96451009065841	03	03	49
06171505	51.7254646774863	9.96540376917456	03	05	51
06171507	51.726119387943	9.96527653188441	03	07	58
06171511	51.7261471320425	9.9642809294257	03	11	07
06171513	51.726595060948	9.96365371161137	03	13	14
06171514	51.727037667345	9.96384641156529	03	14	57
