#bin size 0.2
#time lat long maxTiefe tiefe temp temp_stdev temp_records
43006.005 51.7276193610545 9.96145372856003 4.663633425 0.1 0.0779499436170213 15.8013384615384 0.923632291798516 1349.0 611.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 0.3 0.306116822 18.724801 0.288978208001448 208.0 100.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 0.5 0.493745322463768 18.7881434782609 0.449630084828601 278.0 138.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 0.7 0.695259202247191 18.6739865168539 0.254280765019782 179.0 89.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 0.9 0.919003135849057 18.5821301886792 0.196009289909571 216.0 106.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 1.1 1.09383806268657 18.5964335820895 0.369600324866519 269.0 134.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 1.3 1.32043428846154 18.4395221153846 0.253869039512882 216.0 104.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 1.5 1.50970412195122 18.1315048780488 0.239179695637358 173.0 82.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 1.7 1.69238826595745 17.8996606382979 0.333105845493679 193.0 94.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 1.9 1.90544651 17.698596 0.233977185178918 206.0 100.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 2.1 2.11854573333333 17.610856969697 0.232313511320305 337.0 165.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 2.3 2.27600589912281 17.6034872807018 0.272142111459541 460.0 228.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 2.5 2.52351225238095 17.494085 0.248718043150044 845.0 420.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 2.7 2.68668978947368 17.4459355263158 0.213692682806618 314.0 152.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 2.9 2.90177830898876 17.4358780898877 0.281853571877846 357.0 178.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 3.1 3.10841713554987 17.3250782608695 0.222851819298069 856.0 391.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 3.3 3.28730522083333 17.3856291666667 0.250285075261434 486.0 240.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 3.5 3.52600396923077 17.3258284615385 0.23465375252622 280.0 130.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 3.7 3.68879769387755 17.4189665306122 0.281416810816911 495.0 245.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 3.9 3.90239988518518 17.4042533333333 0.281684670114741 540.0 270.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 4.1 4.060784 17.3553373737374 0.226481006221471 206.0 99.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 4.3 4.33349286764706 17.2817 0.226538879275959 148.0 68.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 4.5 4.48790949553571 17.2231933035714 0.246141351846195 454.0 224.0
43006.005 51.7276193610545 9.96145372856003 4.663633425 4.7 4.66039512162162 17.3417013513513 0.268065274672765 156.0 74.0


43207.005 51.7276989224091 9.9622400901244 4.782535725 0.1 0.0786195973943662 12.278076056338 0.648351658289728 142.0 71.0
43207.005 51.7276989224091 9.9622400901244 4.782535725 0.3 0.289625904615385 18.2717661538462 0.366117853357048 138.0 65.0
43207.005 51.7276989224091 9.9622400901244 4.782535725 0.5 0.50558926 18.3380311111111 0.294456708624684 91.0 45.0
43207.005 51.7276989224091 9.9622400901244 4.782535725 0.7 0.706126346808511 18.3494946808511 0.268157431677218 191.0 94.0
43207.005 51.7276989224091 9.9622400901244 4.782535725 0.9 0.888433585714286 18.2768415584416 0.290700785318285 155.0 77.0
43207.005 51.7276989224091 9.9622400901244 4.782535725 1.1 1.10513077583333 18.2660141666667 0.248300321619659 242.0 120.0
43207.005 51.7276989224091 9.9622400901244 4.782535725 1.3 1.30226290243902 18.2098182926829 0.331686311595624 167.0 82.0
43207.005 51.7276989224091 9.9622400901244 4.782535725 1.5 1.49616461403509 18.0429289473684 0.273200641430854 228.0 114.0
43207.005 51.7276989224091 9.9622400901244 4.782535725 1.7 1.71619290526316 17.9606715789474 0.272680754406949 200.0 95.0
43207.005 51.7276989224091 9.9622400901244 4.782535725 1.9 1.88555732558139 17.8197488372093 0.262419818427414 178.0 86.0
43207.005 51.7276989224091 9.9622400901244 4.782535725 2.1 2.09128132989691 17.7816546391753 0.276336467933003 198.0 97.0
43207.005 51.7276989224091 9.9622400901244 4.782535725 2.3 2.296255671875 17.7326703125 0.287712305133353 130.0 64.0
43207.005 51.7276989224091 9.9622400901244 4.782535725 2.5 2.48994958510638 17.5813170212766 0.274736983948132 192.0 94.0
43207.005 51.7276989224091 9.9622400901244 4.782535725 2.7 2.68965810989011 17.6446824175824 0.283614096502166 189.0 91.0
43207.005 51.7276989224091 9.9622400901244 4.782535725 2.9 2.90737372727273 17.6330140495868 0.277924915036165 247.0 121.0
43207.005 51.7276989224091 9.9622400901244 4.782535725 3.1 3.08919955555556 17.5083060606061 0.292856445619694 199.0 99.0
43207.005 51.7276989224091 9.9622400901244 4.782535725 3.3 3.29941878378379 17.5316027027027 0.254248345803865 149.0 74.0
43207.005 51.7276989224091 9.9622400901244 4.782535725 3.5 3.49629706837607 17.5168675213675 0.28068072802135 236.0 117.0
43207.005 51.7276989224091 9.9622400901244 4.782535725 3.7 3.70353862352941 17.5140188235294 0.254795386187059 172.0 85.0
43207.005 51.7276989224091 9.9622400901244 4.782535725 3.9 3.91623580740741 17.4818748148148 0.213626231125639 290.0 135.0
