#points 40
#t[s] lat long ADCdruck ADCdruck_stddev temp temp_stdev temp_records
43006.1025 51.7276193610545 9.96145372856003 1276.925 5.98075037099435 17.492645 0.48398260761618 20.0
43006.3025 51.7276193610545 9.96145372856003 1277.825 5.3333268229092 16.7061538461538 0.0733660224790344 13.0
43006.5025 51.7276193610545 9.96145372856003 1278.2 9.24445779912105 16.656745 0.157472694378622 20.0
43006.7025 51.7276193610545 9.96145372856003 1278.75 6.15528228434354 16.69915 0.166423052789689 20.0
43006.9025 51.7276193610545 9.96145372856003 1277.675 4.99693656154473 16.7645210526316 0.474253963253709 19.0
43007.1025 51.7276193610545 9.96145372856003 1281.275 15.4757673476847 16.620405 0.231113786856177 20.0
43007.3025 51.7276193610545 9.96145372856003 1276.6 5.06359556048174 16.699155 0.219643733065138 20.0
43007.5025 51.7276193610545 9.96145372856003 1276.55 15.1458740256281 16.699145 0.183205432438738 20.0
43007.7025 51.7276193610545 9.96145372856003 1278.525 5.23444123090559 16.6688666666667 0.156378159885047 18.0
43007.9025 51.7276193610545 9.96145372856003 1279.7 5.8745212570906 16.729435 0.177616903122797 20.0
43008.1025 51.7276193610545 9.96145372856003 1276.85 5.24666560780119 16.71732 0.269240538552224 20.0
43008.3025 51.7276193610545 9.96145372856003 1277.8 5.3907327887826 16.3692210526316 0.143684737419102 19.0
43008.5025 51.7276193610545 9.96145372856003 1276.5 11.8827606220084 16.11164 0.218030001146325 20.0
43008.7025 51.7276193610545 9.96145372856003 1279.15 5.57471972388725 15.8974263157895 0.167718476031011 19.0
43008.9025 51.7276193610545 9.96145372856003 1276.075 5.19320469458596 15.6997947368421 0.275108991748357 19.0
43009.1025 51.7276193610545 9.96145372856003 1277.825 5.12292640977882 15.5181 0.214984706432383 20.0
43009.3025 51.7276193610545 9.96145372856003 1278.75 7.49583217528247 15.348515 0.162050283168017 20.0
43009.5025 51.7276193610545 9.96145372856003 1276.625 6.29161147879406 15.39092 0.155468069390218 20.0
43009.7025 51.7276193610545 9.96145372856003 1278.225 5.7683944906941 15.3202533333333 0.152359149672406 15.0
43009.9025 51.7276193610545 9.96145372856003 1274.05 16.3675746523483 15.172915 0.210733510090332 20.0
43010.1025 51.7276193610545 9.96145372856003 1277.8 4.86415460282144 14.9475789473684 0.12163856114274 19.0
43010.3025 51.7276193610545 9.96145372856003 1277.025 14.3326332193254 14.9921789473684 0.193573822661883 19.0
43010.5025 51.7276193610545 9.96145372856003 1278.575 5.55827086420914 14.87617 0.231717146754702 20.0
43010.7025 51.7276193610545 9.96145372856003 1275.55 13.0018267947278 14.71265 0.172457315008961 20.0
43010.9025 51.7276193610545 9.96145372856003 1277.925 6.73938980919554 14.742915 0.157441154959526 20.0
43011.1025 51.7276193610545 9.96145372856003 1276.35 6.28311228614212 14.58548 0.156026435581149 20.0
43011.3025 51.7276193610545 9.96145372856003 1279.125 10.5337255992404 14.839815 0.344509747721381 20.0
43011.5025 51.7276193610545 9.96145372856003 1277.825 5.32863725542621 14.791385 0.237657405260198 20.0
43011.7025 51.7276193610545 9.96145372856003 1277.675 7.32935024406 14.7945578947368 0.17734972679878 19.0
43011.9025 51.7276193610545 9.96145372856003 1277.875 5.03580926962092 14.83377 0.172473467814864 20.0
43012.1025 51.7276193610545 9.96145372856003 1279.35 4.4471901241215 14.92006875 0.191367802669321 16.0
43012.3025 51.7276193610545 9.96145372856003 1278.55 6.58767789135106 15.18503 0.441538591857875 20.0
43012.5025 51.7276193610545 9.96145372856003 1278.825 5.14726869317859 17.51082 0.423977837392561 20.0
43012.7025 51.7276193610545 9.96145372856003 1278.5 7.84219357067906 18.4414842105263 0.197362800481128 19.0
43012.9025 51.7276193610545 9.96145372856003 1282.0 5.26782687642637 18.704195 0.169620716525775 20.0
43013.1025 51.7276193610545 9.96145372856003 1285.975 10.7737818336963 18.813245 0.13869047362694 20.0
43013.3025 51.7276193610545 9.96145372856003 1290.55 4.91909544530387 18.66786 0.285437007761619 20.0
43013.5025 51.7276193610545 9.96145372856003 1298.15 6.91212702426816 18.6965421052632 0.135265311675423 19.0
43013.7025 51.7276193610545 9.96145372856003 1305.4 9.85596266226174 18.69209 0.148880159523706 20.0
43013.9025 51.7276193610545 9.96145372856003 1304.15 5.7556493986295 18.70571875 0.172505935472498 16.0
43014.1025 51.7276193610545 9.96145372856003 1306.125 16.3511276369552 18.80113 0.155164100550616 20.0
43014.3025 51.7276193610545 9.96145372856003 1316.1 4.83114893170524 18.861715 0.183366259913844 20.0
43014.5025 51.7276193610545 9.96145372856003 1317.5 8.44985206970553 18.801125 0.297789611764636 20.0
43014.7025 51.7276193610545 9.96145372856003 1320.1 4.55411901471882 19.2131 0.523968961866958 20.0
43014.9025 51.7276193610545 9.96145372856003 1324.775 5.57443943368757 18.7985894736842 0.185701724319841 19.0
43015.1025 51.7276193610545 9.96145372856003 1321.525 18.906331611384 18.75266 0.201274914979182 20.0
43015.3025 51.7276193610545 9.96145372856003 1328.625 6.01534496101042 18.67997 0.155149263935636 20.0
43015.5025 51.7276193610545 9.96145372856003 1334.675 19.0897714758468 18.673915 0.249704095430358 20.0
43015.7025 51.7276193610545 9.96145372856003 1336.95 5.26758958156604 18.72844 0.254157373293753 20.0
43015.9025 51.7276193610545 9.96145372856003 1342.025 4.91674434963943 18.6357882352941 0.257936872993541 17.0
43016.1025 51.7276193610545 9.96145372856003 1347.075 4.78219353435318 18.6194 0.28129931745339 20.0
43016.3025 51.7276193610545 9.96145372856003 1350.675 6.0761315818583 18.692095 0.262940950547673 20.0
