#Datum	Latitude	Longitude
06160832	51.5582731488909	9.93852605258449
06160834	51.5582417290695	9.93869993573209
06160834	51.5582468661693	9.93864041812518
06160834	51.5582795549441	9.93834011128285
06160834	51.5582914365908	9.93826016255457
06160834	51.558323725208	9.93803567988416
06160834	51.5582496457962	9.93849618784958
06160834	51.5582467312174	9.93851462341405
06160834	51.5582468717261	9.93851403871018
06160835	51.5582470588955	9.93851271939018
06160835	51.5582469564537	9.93851376673573
06160835	51.5582823934949	9.93830871941187
06160835	51.5582501215193	9.93849513741091
06160835	51.5582653369458	9.93841096242686
06160835	51.5582504992114	9.93849380888455
06160835	51.5582475065288	9.93851064743464
06160835	51.5582470428154	9.93851341147624
06160835	51.5582278529673	9.93875942617573
06160836	51.5582424126287	9.93857217024053
06160836	51.5582460626281	9.93852537843269
06160836	51.5582899431767	9.93826478545295
06160836	51.5582930601451	9.93824725760159
06160836	51.5582344304238	9.93866413831598
06160836	51.5582646568836	9.9384223904129
06160836	51.5582524812853	9.93848009567239
06160837	51.5582485610204	9.93850417251976
06160837	51.5582473451856	9.93851156618797
06160837	51.5582613224298	9.93843352490556
06160837	51.5582363907681	9.9385814012725
06160837	51.5582310197591	9.93868792569092
06160837	51.5582527152598	9.93868690436267
06160837	51.5582724035685	9.9386459806526
06160837	51.5582820780682	9.93861632362979
06160837	51.5582815636303	9.93859844217826
06160838	51.5582159142752	9.93879839494922
06160839	51.5582152849609	9.93880026928354
06160840	51.5582152043685	9.93880050062672
06160840	51.558215285983	9.93880020819531
06160840	51.5582266468463	9.93876219462179
06160840	51.5582151449583	9.9388006795034
06160841	51.5582151052931	9.93880081220623
06160841	51.5582187002425	9.93878878349891
06160841	51.5582155835917	9.93879918515108
06160841	51.5582151058837	9.93880080545354
06160842	51.5582152527328	9.93880031770467
06160843	51.5582152888823	9.93880019763673
06160843	51.558215297781	9.93880016808047
06160844	51.5582152999713	9.93880016080543
06160845	51.5582181272513	9.93879070072211
06160846	51.5582208940566	9.93878144298674
06160846	51.5582248552697	9.93876818875991
06160847	51.5582164318243	9.93879637363763
06160848	51.5582151105982	9.93880079446471
06160849	51.5582148082843	9.93880182289394
06160849	51.5582148511008	9.93880166690101
06160850	51.558225988191	9.93876440147276
06160850	51.5582151681258	9.93880055664926
06160850	51.5582151155325	9.93880076848578
06160851	51.5582261784479	9.93876375353822
06160851	51.558256281682	9.938663032381
06160851	51.5582158378627	9.93879836103652
06160851	51.5582150809278	9.93880089381702
06160851	51.5582150092038	9.93880117375925
06160851	51.5582151371178	9.93880067573787
06160851	51.5582200356631	9.93878426555023
06160851	51.5582159844589	9.93879786366469
06160852	51.55823100273	9.93874762063743
06160852	51.5582159125059	9.93879805071699
06160852	51.5582276827624	9.93875867833754
06160852	51.558246762287	9.93851966259467
06160852	51.5582902494142	9.93857848294848
06160852	51.5582512080704	9.93852276063532
06160852	51.5582449121857	9.93850979002248
06160852	51.5582530122131	9.93854690623652
06160853	51.5582542515226	9.93854839746705
06160853	51.558233249188	9.93871862081844
06160853	51.558216312903	9.93879529742751
06160853	51.5582753632618	9.93873847641576
06160853	51.5582897879869	9.93857476550177
06160853	51.5582426376797	9.9386196117519
06160854	51.558280835395	9.93853573560066
06160854	51.5582547832192	9.93851385491654
06160854	51.5582318865459	9.93872350356039
06160854	51.5582450025011	9.93853592999005
06160854	51.5582800866963	9.93832494836688
06160854	51.5582581182334	9.93845016676481
06160854	51.5582504464886	9.93849388752168
06160855	51.5582571820752	9.93845252552362
06160855	51.5582253540895	9.93871624890403
06160855	51.5582464668787	9.93860165963379
06160855	51.55823074504	9.93873422383256
06160855	51.5582525442582	9.93851188042361
